LivingArea,NumBedrooms,Pool,ClosePrice,DwellingType,num_baths
3376.0,5,Private,275000.0,Single Family - Detached,3.5
1612.0,2,Community,224750.0,Single Family - Detached,2.0
1620.0,3,Private,163500.0,Single Family - Detached,2.0
2278.0,4,Private,375000.0,Single Family - Detached,2.5
1571.0,4,None,144000.0,Single Family - Detached,2.0
1495.0,3,Community,135000.0,Single Family - Detached,2.0
1274.0,2,Community,207500.0,Patio Home,2.0
920.0,2,None,119000.0,Single Family - Detached,1.5
1656.0,3,Community,208500.0,Townhouse,2.5
2600.0,4,Both Private & Community,386000.0,Single Family - Detached,3.0
2642.0,5,None,150000.0,Single Family - Detached,3.0
1480.0,4,None,134900.0,Single Family - Detached,2.0
2243.0,2,Community,297000.0,Single Family - Detached,2.0
1963.0,4,Community,408000.0,Single Family - Detached,2.0
1394.0,3,None,147000.0,Single Family - Detached,2.0
3390.0,3,Private,700000.0,Single Family - Detached,3.5
1656.0,2,Community,259900.0,Single Family - Detached,2.0
1510.0,3,None,125000.0,Single Family - Detached,2.0
659.0,1,Community,53000.0,Loft Style,1.0
1594.0,3,Private,185000.0,Single Family - Detached,2.0
1238.0,3,None,151500.0,Single Family - Detached,2.0
3067.0,5,Private,345000.0,Single Family - Detached,3.0
1212.0,2,None,108000.0,Single Family - Detached,2.0
1438.0,3,Private,195000.0,Single Family - Detached,2.0
1815.0,3,None,92000.0,Mfg/Mobile Housing,2.0
1265.0,2,Community,105000.0,Single Family - Detached,2.0
1579.0,3,Private,197000.0,Single Family - Detached,2.0
2864.0,5,Community,135000.0,Single Family - Detached,3.0
2725.0,5,Private,313500.0,Single Family - Detached,3.0
1494.0,3,None,329900.0,Single Family - Detached,2.0
2542.0,2,Both Private & Community,375000.0,Single Family - Detached,2.5
2154.0,3,Private,199000.0,Single Family - Detached,2.0
1558.0,4,None,166000.0,Single Family - Detached,2.5
1370.0,3,Community,183000.0,Single Family - Detached,2.0
3400.0,4,None,269990.0,Single Family - Detached,3.5
1744.0,3,None,210000.0,Single Family - Detached,2.0
2057.0,3,None,230000.0,Single Family - Detached,2.5
1155.0,2,Community,82000.0,Apartment Style/Flat,2.0
